year inflation
1964 3.211191702931
1965 2.7031045587308
1966 2.60200076636453
1967 2.79177709435144
1968 4.54320486402014
1969 6.04596284173893
1970 5.29964124562672
1971 5.3975186559511
1972 6.06300309718189
1973 7.38060106398913
1974 13.6493174728138
1975 11.6859272493228
1976 9.62549578155529
1977 9.49455467190429
1978 9.25055846724437
1979 10.6467341716663
1980 13.5625788483016
1981 13.3144055680071
1982 11.9784719523805
1983 9.45954847235314
1984 7.6738026224732
1985 5.83109973854516
1986 2.53852591781416
1987 3.28889821400136
1988 2.70081527508111
1989 3.49830220700748
1990 3.19428338029481
1991 3.21340732409685
1992 2.36376046269354
1993 2.10446277124641
1994 1.65551532926996
1995 1.79648142095595
1996 1.98288365089736
1997 1.20394294026966
1998 0.65112686783302
1999 0.537141639134613
2000 1.6759598872093
2001 1.63478079549599
2002 1.9234122872706
2003 2.09847219146922
2004 2.14208964640242
2005 1.74586936380481
2006 1.67512449608728
2007 1.48799805953858
2008 2.81286194914787
2009 0.0876204781574529
2010 1.53112270420924
2011 2.11159795174997
2012 1.95419531613507
2013 0.863715497861826
2014 0.507758822937957
2015 0.0375143805125363
2016 0.183334861123848
2017 1.03228275064674
2018 1.85081508315494
2019 1.10825492288292
2020 0.476498852725083
