year inflation
1961 18.4873949579832
1962 1.41843971631209
1963 2.09790209790213
1964 1.36986301369865
1965 3.85929815780518
1966 2.87319422160327
1967 1.36526759221905
1968 0.708073577854385
1969 2.24684753574713
1970 -0.859556021006882
1971 4.95325693640983
1972 9.18037497303687
1973 12.7968945326021
1974 25.2333177791075
1975 6.69306008366749
1976 4.47461474664494
1977 9.35985291662841
1978 10.6602475929181
1979 28.1610386024436
1980 22.4473301362176
1981 12.9746974698193
1982 5.12006543713194
1983 13.433755563163
1984 20.3114625460255
1985 25.2107164358818
1986 31.7425972672999
1987 21.8102740350983
1988 22.5942571785268
1989 26.4221267235586
1990 37.2599561799202
1991 24.2253521126762
1992 15.1927437641721
1993 18.2086614173227
1994 20.5661948376356
1995 13.4254143646407
1996 9.7996833901608
1997 6.94956608534117
1998 11.5532684355839
1999 6.75226586102725
2000 8.98215976750022
2001 7.26806028584821
2002 10.5102420856612
2003 14.2367970499143
2004 4.32326492967491
2005 6.80738203116371
2006 9.5893494112923
2007 8.13047417698579
2008 10.1547846489023
2009 2.5919467343056
2010 4.6511627906977
2011 8.25396825396825
2012 3.6759189797449
2013 2.68385738718593
2014 5.02882767456758
2015 3.12900274473924
2016 4.08682280577242
2017 3.60247741348942
2018 3.97561015740689
2019 2.7570972756279
2020 1.7675159235669
2021 4.78798310123612
