Obs FOOD_EXP INCOME 
1 115.220 3.6900 
2 135.980 4.3900 
3 119.340 4.7500 
4 114.960 6.0300 
5 187.050 12.4700 
6 243.920 12.9800 
7 267.430 14.2000 
8 238.710 14.7600 
9 295.940 15.3200 
10 317.780 16.3900 
11 216.000 17.3500 
12 240.350 17.7700 
13 386.570 17.9300 
14 261.530 18.4300 
15 249.340 18.5500 
16 309.870 18.8000 
17 345.890 18.8100 
18 165.540 19.0400 
19 196.980 19.2200 
20 395.260 19.9300 
21 406.340 20.1300 
22 171.920 20.3300 
23 303.230 20.3700 
24 377.040 20.4300 
25 194.350 21.4500 
26 213.480 22.5200 
27 293.870 22.5500 
28 259.610 22.8600 
29 323.710 24.2000 
30 275.020 24.3900 
31 109.710 24.4200 
32 359.190 25.2000 
33 201.510 25.5000 
34 460.360 26.6100 
35 447.760 26.7000 
36 482.550 27.1400 
37 438.290 27.1600 
38 587.660 28.6200 
39 257.950 29.4000 
40 375.730 33.4000 


